specialite_1,specialite_2,of,pct_multi,stag_mean_tam
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",Spécialités plurivalentes de l'agronomie et de l'agriculture,1,0.0033581838941500438,99.0
"Mécanique générale et de précision, usinage","Nettoyage, assainissement, protection de l'environnement",1,0.0033581838941500438,801.0
Application des droits et statuts des personnes,"Philosophie, éthique et théologie",1,0.0033581838941500438,0.0
"Sécurité des biens et des personnes, police, surveillance",Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,642.0
"Productions végétales,cultures spécialisées",Spécialités plurivalentes de la communication,1,0.0033581838941500438,539.0
Linguistique,"Plasturgie, matériaux composites",1,0.0033581838941500438,0.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,109.0
"Agro-alimentaire, alimentation, cuisine",Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,46.0
Développement des capacités comportementales et relationnelles,"Matériaux de construction, verre, céramique",1,0.0033581838941500438,124.0
"Documentation, bibliothèques, administration des données",Sciences de la terre,1,0.0033581838941500438,211.0
"Agro-alimentaire, alimentation, cuisine",Economie et activités domestiques,1,0.0033581838941500438,56.0
Pratiques sportives,Travail social,1,0.0033581838941500438,717.0
"Habillement (y compris mode, couture)",Spécialités plurivalentes de l'agronomie et de l'agriculture,1,0.0033581838941500438,28.0
Bâtiment: finitions,Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
Cuirs et peaux,Moteurs et mécanique auto,1,0.0033581838941500438,570.0
"Chimie-biologie, biochimie",Journalisme et communication,1,0.0033581838941500438,0.0
Sciences de la terre,Spécialités plurivalentes sanitaires et sociales,1,0.0033581838941500438,0.0
"Plasturgie, matériaux composites",Structures métalliques,1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie",Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
Sciences de la vie,Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
"Mécanique générale et de précision, usinage",Psychologie,1,0.0033581838941500438,0.0
Sciences naturelles (Biologie-Géologie),Spécialités plurivalentes de la communication,1,0.0033581838941500438,0.0
"Documentation, bibliothèques, administration des données","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",1,0.0033581838941500438,0.0
"Accueil, hôtellerie, tourisme",Spécialités plurivalentes de l'agronomie et de l'agriculture,1,0.0033581838941500438,0.0
Linguistique,Pratiques sportives,1,0.0033581838941500438,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Mécanique aéronautique et spatiale,1,0.0033581838941500438,0.0
"Comptabilité, gestion",Mécanique aéronautique et spatiale,1,0.0033581838941500438,0.0
"Documentation, bibliothèques, administration des données","Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,0.0
"Productions végétales,cultures spécialisées",Structures métalliques,1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs","Mécanique générale et de précision, usinage",1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs",Structures métalliques,1,0.0033581838941500438,0.0
Cuirs et peaux,Spécialités plurivalentes sanitaires et sociales,1,0.0033581838941500438,0.0
Cuirs et peaux,"Sécurité des biens et des personnes, police, surveillance",1,0.0033581838941500438,0.0
"Accueil, hôtellerie, tourisme",Technologies de commandes des transformations industrielles,1,0.0033581838941500438,0.0
Sciences de la terre,"Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,0.0
"Philosophie, éthique et théologie","Transport, manutention, magasinage",1,0.0033581838941500438,0.0
Application des droits et statuts des personnes,"Mécanique générale et de précision, usinage",1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs","Philosophie, éthique et théologie",1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,0.0
"Productions animales, élevage spécialisé, aquaculture, ...","Spécialités pluridisciplinaires, sciences humaines et droit",1,0.0033581838941500438,0.0
Chimie,"Commerce, vente",1,0.0033581838941500438,0.0
Langues et civilisations anciennes,Santé,1,0.0033581838941500438,0.0
Chimie,Journalisme et communication,1,0.0033581838941500438,0.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",Textile,1,0.0033581838941500438,0.0
Moteurs et mécanique auto,"Spécialités pluritechnologiques, matériaux souples",1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,0.0
Application des droits et statuts des personnes,"Transport, manutention, magasinage",1,0.0033581838941500438,0.0
Chimie,"Mines et carrières, génie civil, topographie",1,0.0033581838941500438,0.0
Spécialités plurivalentes de la communication,Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,0.0
"Forêts, espaces naturels, faune sauvage, pêche",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,0.0
Spécialités plurivalentes de l'agronomie et de l'agriculture,"Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
"Matériaux de construction, verre, céramique","Sécurité des biens et des personnes, police, surveillance",1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie","Langues vivantes, civilisations étrangères et régionales",1,0.0033581838941500438,0.0
Linguistique,Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,0.0
"Habillement (y compris mode, couture)",Spécialités littéraires et artistiques plurivalentes,1,0.0033581838941500438,0.0
Développement des capacités mentales et apprentissages de base,Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
Spécialités concernant plusieurs capacités,Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
"Energie, génie climatique",Spécialités plurivalentes de la communication,1,0.0033581838941500438,0.0
"Forêts, espaces naturels, faune sauvage, pêche",Spécialités plurivalentes des échanges et de la gestion,1,0.0033581838941500438,0.0
"Productions animales, élevage spécialisé, aquaculture, ...",Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Productions animales, élevage spécialisé, aquaculture, ...",1,0.0033581838941500438,0.0
Développement des capacités mentales et apprentissages de base,"Productions animales, élevage spécialisé, aquaculture, ...",1,0.0033581838941500438,0.0
Pratiques sportives,Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Spécialités plurivalentes de l'agronomie et de l'agriculture,1,0.0033581838941500438,0.0
Sciences de la terre,Structures métalliques,1,0.0033581838941500438,0.0
"Habillement (y compris mode, couture)",Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,0.0
"Agro-alimentaire, alimentation, cuisine","Aménagement du territoire, développement, urbanisme",1,0.0033581838941500438,0.0
Mécanique aéronautique et spatiale,"Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,0.0
"Papier, carton",Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
"Droit, sciences politiques",Jeux et activités spécifiques de loisirs,1,0.0033581838941500438,0.0
"Forêts, espaces naturels, faune sauvage, pêche",Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
Economie,Technologies industrielles fondamentales,1,0.0033581838941500438,0.0
"Forêts, espaces naturels, faune sauvage, pêche","Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,0.0
"Energie, génie climatique",Psychologie,1,0.0033581838941500438,0.0
Psychologie,"Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,0.0
"Langues vivantes, civilisations étrangères et régionales","Mines et carrières, génie civil, topographie",1,0.0033581838941500438,0.0
"Mines et carrières, génie civil, topographie",Textile,1,0.0033581838941500438,0.0
Cuirs et peaux,"Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,0.0
"Habillement (y compris mode, couture)","Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Mécanique générale et de précision, usinage",1,0.0033581838941500438,0.0
Protection et développement du patrimoine,Spécialités plurivalentes de l'agronomie et de l'agriculture,1,0.0033581838941500438,0.0
Psychologie,"Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,0.0
Développement des capacités comportementales et relationnelles,Economie et activités domestiques,1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Economie et activités domestiques,1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie",Spécialités plurivalentes sanitaires et sociales,1,0.0033581838941500438,0.0
Linguistique,"Matériaux de construction, verre, céramique",1,0.0033581838941500438,0.0
"Finances, banque, assurances","Mines et carrières, génie civil, topographie",1,0.0033581838941500438,0.0
Développement des capacités comportementales et relationnelles,"Mécanique générale et de précision, usinage",1,0.0033581838941500438,0.0
"Philosophie, éthique et théologie",Sciences de la terre,1,0.0033581838941500438,0.0
"Droit, sciences politiques",Langues et civilisations anciennes,1,0.0033581838941500438,0.0
Bâtiment: finitions,"Habillement (y compris mode, couture)",1,0.0033581838941500438,0.0
"Energie, génie climatique","Habillement (y compris mode, couture)",1,0.0033581838941500438,0.0
"Nettoyage, assainissement, protection de l'environnement","Papier, carton",1,0.0033581838941500438,0.0
"Productions animales, élevage spécialisé, aquaculture, ...","Sciences sociales (y compris démographie, anthropologie)",1,0.0033581838941500438,0.0
Linguistique,Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
"Sciences sociales (y compris démographie, anthropologie)","Sécurité des biens et des personnes, police, surveillance",1,0.0033581838941500438,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Chimie,1,0.0033581838941500438,0.0
